sample_id,text,true_label,llama_pred,mistral_pred,llama_correct,mistral_correct
163,Endhu anelum ikka..  Ummah... kidilam,Positive,Negative,Negative,False,False
164,Powlichu,Positive,Negative,Positive,False,True
165,വീണ്ടു വീണ്ടു കണ്ടു രോമച്ചം വന്നവർ ഉണ്ടോ....,Positive,Positive,Positive,True,True
166,Jack Daniel ന് ശേഷം ദിലീപേട്ടൻ വീണ്ടും വരുന്നു. ഒപ്പം മലയാളത്തിന്റെ പ്രിയ സംവിധായകൻ സുഗീതും. This x mas will rock.,Positive,Positive,Positive,True,True
167,Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,Positive,Positive,Mixed_feelings,True,False
168,Kalippe....   by katta lalettan fan,Positive,Negative,Positive,False,True
169,Poli oru rakshayum illa...  dileep ettan...,Positive,Negative,Negative,False,False
170,Licifer vannna ennenthe pooram vanu.....madhuraraja 6 manik thanne poyi......but l is loading...coming....minutes left,Positive,Mixed_feelings,Negative,False,False
171,ദിലീപേട്ടൻ വ്യത്യസ്ത വേഷങ്ങൾ ചെയ്യാറുണ്ട്. വീണ്ടും ഒരു പുതുമനിറഞ്ഞ വേഷം.  ജനപ്രീയ നായകൻ ഫാൻസ്‌ come,Positive,Positive,Positive,True,True
172,Mass entry ekka,Positive,Positive,Positive,True,True
173,പൊളി സ്റ്റെപ്..... ufff തിയേറ്റർ അങ്ങ് കുലുങ്ങി ഇത് വന്നപ്പോ,Positive,Negative,Positive,False,True
174,ദാസേട്ടൻ വോയിസ്‌  മമ്മൂക്ക സ്ക്രീൻ പ്രെസെൻസ്,Positive,Positive,Positive,True,True
175,അന്നും ഇന്നും  കട്ട മമ്മൂക്ക ഫാൻസ് ആരുണ്ട്,Positive,Positive,Mixed_feelings,True,False
176,സുരാജ്‌ ജയിക്കേണം എന്നാണ് എന്റെ ആഗ്രഹം,Positive,Positive,Positive,True,True
177,LALETTAAA POLICHU  100 CR KOYYUM,Positive,Positive,Positive,True,True
178,Nalloru cenima anubhavam malayalikalk sammanikunne karyam therrchayayi,Positive,Positive,Positive,True,True
179,Trailer Valare ishtai,Positive,Positive,Positive,True,True
180,Late aayi vannalum latest aayi varananu A10 nu istam latest aayi tanne varum  Lalettan,Positive,Positive,Positive,True,True
181,Ithaan ikkane megaaastar aakith Ikka uyirrrr,Positive,Positive,Positive,True,True
182,ഇതൊരു പൊളി പൊളിക്കും.. എജ്ജാതി കാസ്റ്റിംഗ്. Editing bgm direction art ഒരു രക്ഷേം ഇല്ലാ.. joshy sir strikes with a tsunami.,Positive,Positive,Mixed_feelings,True,False
183,"ഇജ്ജാതി സിനിമകളോട് നുമ്മക് പണ്ടേ മുഹബത്താണ് പോരാത്തേന് സൗബിൻ ഇക്കായും , ഷൈൻ ഇക്കായും, ഫഹദ് ഇക്കായും ഇത് പൊരിക്കും  Feb 7",Positive,Negative,Positive,False,True
184,1:52 mass level  Fdfs urappichavar like adikku,Positive,Positive,Positive,True,True
185,Swasu  .. മുത്തേ..... All  the best ..... ഞങ്ങളുടെ ച ങ്കിടി പായ ടwasu ന് എല്ലാവിധ ആശംസകള്..... LOVe you ... too....,Positive,Positive,Positive,True,True
186,Oru variety padam manakkunnu ettan uyir,Positive,Positive,Positive,True,True
187,മമ്മൂക്ക യെ പെൺവേശത്തിൽ  കാണിക്കുന്ന രംഗം കാണണമെങ്കിൽ ചെല്ല്  ടിക്കറ്റ് എടുക്ക്  ടിയട്ടറിൽ കാണാത്തവർ നാളെ Tv യിൽ കാണുമ്പോൾ  ടിയട്ടറിൽ  കാണാൻ പറ്റാത്തത്തിൽ ദുഃഖിക്കും  ഇത് കുറിച്ചിട്ടോ   ആ Bgm  യുദ്ധരംഗം ഹ എജാതി,Positive,Positive,Mixed_feelings,True,False
188,kidu bgm making dailogue full pwli mood ichayan,Positive,Positive,Negative,True,False
189,"Nala patt, cinema adipoli  psycho fahad fasil",Positive,Positive,Positive,True,True
190,Prayam koodundorum soundaryam koodunna ore oraal.. Mammookka,Positive,Positive,Positive,True,True
191,Ikka ejjathi look... ejjathi entry,Positive,Positive,Positive,True,True
192,"നല്ല ഗാനം, സുഹൃത്തുക്കളെ ഞാൻ സാഹിത്യകാരണാണ്, ഗാനം, സിനിമ ഇഷ്ടപ്പെടുന്നു. എന്റെ youtube ചാനൽ Subscribe ചെയ്യണേ കുട്ടുകാരെ.",Positive,Positive,Positive,True,True
193,Mammookka ithelum mass aayi big b il varunnund ith verum sample,Positive,Positive,Positive,True,True
194,മലയാള സിനിമ ഇത് എന്തിനുള്ള പുറപ്പാടാ. amazing,Positive,Positive,Positive,True,True
195,Mech ഇല്‍ ഓണം സെലിബ്രേഷന്‍ ആണ്‌ ചേട്ടാ...``   ആ ചിരി പൊളിച്ച് 2:25,Positive,Positive,Positive,True,True
196,പൊറിഞ്ചു മറിയം ജോസ് ടീമിലെ എല്ലാ അംഗങ്ങൾക്കും ഒരു all the best... പ്രത്യേകിച്ചും ഞങ്ങടെ സ്വാസൂട്ടിക്ക് ഒരു പാട് ഉയരങ്ങളിൽ എത്തട്ടെന്ന് ആത്മാർത്ഥമായി പ്രാർത്ഥിക്കുന്നു....,Positive,Positive,Positive,True,True
197,Malayalam cinema technical aayi orupaad uyarattee. Valiya budget quality films iniyum ithe pole undavatte.,Positive,Positive,Positive,True,True
198,EE  oonam ETT!M@@N! KONDUPOOKUM THERRCHA.....,Positive,Positive,Positive,True,True
199,ഇടവേളകളിലെ പഫ്സും ഡ്രിംഗ്സും ക്ലാസുകളിലെ ചെറുകുരുത്തക്കേടുകളും പരീക്ഷകളിലെ മഹത്തായ മാർക്കുകളും ഇനിയൊരിക്കലും തിരിച്ച് കിട്ടാത്ത ആ +1 & +2 കാലത്തെയും ഓർമ്മിപ്പിച്ച്   ഒരു തണ്ണീർമത്തൻ ദിനം  Miss u guyzzzz,Positive,Positive,Mixed_feelings,True,False
200,Ithupolathe kidilan trailer vannitt katta support kodukkathirikkan pattumo it is very awesome,Positive,Positive,Positive,True,True
201,Ettan fans like button pottich kaanich kodkk,Positive,Positive,Negative,True,False
202,polichu muthe laleta enna glamour aa postersiloke,Positive,Negative,Positive,False,True
203,ജോജോ  മച്ചാന്റെ  അടുത്ത  ഹിറ്റ്‌... കട്ട വെയ്റ്റിംഗ്,Positive,Positive,Positive,True,True
204,"ഇത് കണ്ടാലേ അറിയാം സൂപ്പർ മൂവി ആണെന്ന്, മഞ്ജു 🤩🥰🥰",Positive,Positive,Positive,True,True
205,Maamankam industrial hit aavm ennulavar . anyone...,Positive,Positive,Positive,True,True
206,ഷൈൻ അടിപ്പോളിയാണ് പക്ഷെ സൗബിൻ ഈ ചിത്രത്തിൽ ഞെട്ടിച്ചു കളഞ്ഞു.........,Positive,Mixed_feelings,Positive,False,True
207,ഒരുപാട് ആക്ഷൻ മൂവിസിന് ശേഷം പഴയ മോഹനലാലായി തിരിച്ചു വന്നിരിക്കുന്നു  ലാലേട്ടാ സൂപ്പർ,Positive,Positive,Positive,True,True
208,Ufff vere level ikkaaa ingha pwoli aahn,Positive,Positive,Positive,True,True
209,Orikkal kandal orikkalum marakkatha drishyanubavam addayirikkum mamangam Oru like thannoode,Positive,Positive,Positive,True,True
210,Trailer  thanne 100 vattam kaanan thonna..... padam poliyaanu appo...🤘🤘🤘🤘🤘,Positive,Negative,Negative,False,False
211,പടം പൊളിച്ചു.. എജ്ജാതി ഫിലിം.. ഷൈൻ,Positive,Positive,Positive,True,True
212,Ini madhu chettan brilliance kandu pidikendi varum,Positive,Positive,Positive,True,True
213,Oru rakshayum illaaatha waiting  ഒന്നൊന്നര ട്രൈലെർ,Positive,Negative,Negative,False,False
214,ente mamookkaa.... ijjathi....  romaja.kanjukam..  mammootti istham....  ithu kalakkum.. polikkum... thimirkkum,Positive,Positive,Positive,True,True
216,Rajauda kalii enum keralam kannan pokunnaa olluu🤩🤩,Positive,Positive,Positive,True,True
217,sukurthukkale enikk oru karyave parayanollu dis like adichum aavishyam illatha troll paranjum veruppikkalle nammade swathalle lalettan nammal malayalikalude abhimanamalle,Positive,Positive,Negative,True,False
218,Wow.... എന്നാ ഒരു ഗൃഹാതുരത്വം ആട ഉവേ..,Positive,Negative,Positive,False,True
219,Become an arjun asokaN fan. .. padam kalakki,Positive,Positive,Positive,True,True
363,Copy adicha padan nanam illlallo poorikale,Negative,Negative,Negative,True,True
